Titulo,Pais,Ano,Minutagem,Genero,Sinopse
Dick Johnson Is Dead,United States,2020,90,Documentaries,as her father nears the end of his life  filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable 
Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,125,"Dramas, Independent Movies, International Movies",on a photo shoot in ghana  an american model slips back in time  becomes enslaved on a plantation and bears witness to the agony of her ancestral past 
The Starling,United States,2021,104,"Comedies, Dramas",a woman adjusting to life after a loss contends with a feisty bird that s taken over her garden   and a husband who s struggling to find a way forward 
Je Suis Karl,"Germany, Czech Republic",2021,127,"Dramas, International Movies",after most of her family is murdered in a terrorist bombing  a young woman is unknowingly lured into joining the very group that killed them 
Jeans,India,1998,166,"Comedies, International Movies, Romantic Movies",when the father of the man she loves insists that his twin sons marry twin sisters  a woman creates an alter ego that might be a bit too convincing 
Grown Ups,United States,2010,103,Comedies,mourning the loss of their beloved junior high basketball coach  five middle aged pals reunite at a lake house and rediscover the joys of being a kid 
Dark Skies,United States,2013,97,"Horror Movies, Sci-Fi & Fantasy",a family s idyllic suburban life shatters when an alien force invades their home  and as they struggle to convince others of the deadly threat 
Paranoia,"United States, India, France",2013,106,Thrillers,blackmailed by his company s ceo  a low level employee finds himself forced to spy on the boss s rival and former mentor 
Birth of the Dragon,"China, Canada, United States",2017,96,"Action & Adventure, Dramas",a young bruce lee angers kung fu traditionalists by teaching outsiders  leading to a showdown with a shaolin master in this film based on real events 
Jaws,United States,1975,124,"Action & Adventure, Classic Movies, Dramas",when an insatiable great white shark terrorizes amity island  a police chief  an oceanographer and a grizzled shark hunter seek to destroy the beast 
Jaws 2,United States,1978,116,"Dramas, Horror Movies, Thrillers",four years after the last deadly shark attacks  police chief martin brody fights to protect amity island from another killer great white 
Jaws 3,United States,1983,98,"Action & Adventure, Horror Movies, Thrillers",after the staff of a marine theme park try to capture a young great white shark  they discover its mother has invaded the enclosure and is out for blood 
Jaws: The Revenge,United States,1987,91,"Action & Adventure, Horror Movies, Thrillers",after another deadly shark attack  ellen brody has had enough of amity island and moves to the caribbean   but a great white shark follows her there 
Safe House,"South Africa, United States, Japan",2012,115,Action & Adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that s come under attack and get him to a securer location 
Training Day,United States,2001,122,"Dramas, Thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor s questionable brand of justice 
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2002,99,"Action & Adventure, Anime Features, International Movies",with their biggest foe seemingly defeated  inuyasha and his friends return to everyday life  but the peace is soon shattered by an emerging new enemy 
InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2003,99,"Action & Adventure, Anime Features, International Movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons  now the evil power of the third sword has been awakened 
InuYasha the Movie 4: Fire on the Mystic Island,Japan,2004,88,"Action & Adventure, Anime Features, International Movies",ai  a young half demon who has escaped from horai island to try to help her people  returns with potential saviors inuyasha  sesshomaru and kikyo 
InuYasha the Movie: Affections Touching Across Time,Japan,2001,100,"Action & Adventure, Anime Features, International Movies",a powerful demon has been sealed away for 200 years  but when the demon s son is awakened  the fate of the world is in jeopardy 
Naruto Shippuden the Movie: Blood Prison,Japan,2011,102,"Action & Adventure, Anime Features, International Movies",mistakenly accused of an attack on the fourth raikage  ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed 
